planet_key,rank_a,rank_b,rank_displacement,source_value_a,source_value_b,factorial_width,top_k_status,best_rank,worst_rank
kepler-458 c,548,1663,1115,1396.672714569988,301.356700135337,4.634616432761418,excluded,530,1675
kepler-430 c,1453,2287,834,401.8367487385443,116.46515648091463,3.4502744072163254,excluded,1429,2292
kepler-238 d,734,1488,754,976.6133790099059,386.5249213708842,2.526650482318606,excluded,719,1507
kepler-238 c,1145,1858,713,590.1749213104107,234.2591436898669,2.52982169561312,excluded,1130,1870
kepler-28 c,465,1055,590,1935.3209245874953,655.9344988605728,3.644285235865528,excluded,441,1166
kepler-238 b,1661,2234,573,308.5055529942849,122.74193224022736,2.535736268098388,excluded,1637,2250
kepler-279 b,1008,1538,530,681.5601118980409,360.49686042778717,1.8906131695273598,excluded,987,1557
kepler-84 c,1360,1867,507,452.1425978198651,228.41507093627266,1.9794779563648495,excluded,1338,1878
kepler-28 b,447,950,503,2201.9651408639943,729.970883583241,3.725844661569572,excluded,419,1076
kepler-1650 b,1461,991,470,399.7047258026018,692.8230960025813,1.7333372644303908,excluded,978,1480
kepler-84 b,1497,1962,465,379.79651262700503,203.94378523753778,1.956781139219668,excluded,1464,1972
kepler-307 b,1342,932,410,467.6829970231909,747.37155040254,1.6042287619295448,excluded,922,1359
kepler-50 c,1771,2144,373,263.798551316082,158.18966933972152,1.6676092213680485,excluded,1752,2153
kepler-307 c,1494,1127,367,381.5436729096582,612.589257048941,1.60555475177278,excluded,1115,1512
kepler-411 b,1331,975,356,476.50881999008664,719.0009096169862,1.7514814438265198,excluded,909,1396
kepler-57 c,1487,1144,343,387.540338185991,592.7579690911083,2.507201484513011,excluded,916,1674
kepler-114 c,1266,939,327,509.97856719463334,736.2499361536352,1.4541360508829269,excluded,927,1289
kepler-462 c,1509,1205,304,368.2881980435871,544.3691462696257,3.1160687720952396,excluded,873,1830
kepler-279 d,1274,987,287,501.25493224151285,703.9286748859287,1.4132200011563831,excluded,971,1295
k2-35 b,1767,1495,272,271.0888695793499,380.6562069613354,1.5859842983608456,excluded,1422,1820
kepler-432 b,587,844,257,1286.3121559543572,838.0413909226199,1.6755953921394255,excluded,552,891
hip 41378 c,1746,1490,256,279.4603415104345,384.8453939520332,1.377101995481759,excluded,1474,1758
kepler-85 c,1156,1412,256,579.536032116637,428.5576904902744,1.352294090099379,excluded,1143,1437
kepler-32 c,370,624,254,4084.911983581087,1194.2110258454966,3.4205947652250033,excluded,360,640
kepler-50 b,2104,2358,254,168.8310728422925,98.23152161147611,1.718705666700865,excluded,2084,2366
kepler-80 b,834,583,251,853.1638170868628,1300.5766705421142,1.5244161138747627,excluded,563,846
kepler-80 d,1666,1416,250,302.2830984576473,427.0672793940206,1.4128056830602347,excluded,1399,1674
hat-p-67 b,42,285,243,19164.597488299692,7029.590579137481,3.0255026388536,possible,24,318
kepler-85 b,1337,1574,237,473.13818035980114,346.27427742167305,1.3663682554844825,excluded,1318,1589
kepler-130 d,2291,2063,228,112.95914573465546,177.587620629388,1.5721402589795326,excluded,2051,2296
kepler-289 b,1486,1263,223,388.42665084840866,519.9618959449293,1.3386359942326793,excluded,1246,1504
kepler-31 b,713,490,223,1022.2428807975225,1704.4275369675502,1.6673410683357444,excluded,480,729
kepler-160 c,544,763,219,1410.7594298814236,948.56021920877,1.75165458796106,excluded,501,833
kepler-24 c,1171,1389,218,575.200195218331,438.84179856845685,1.3107233565596714,excluded,1158,1415
kepler-167 c,1644,1428,216,320.05907379511444,418.90939101374875,1.7156356536976696,excluded,1314,1758
k2-3 c,771,986,215,938.0461139043705,704.0451277869882,1.4020181814871002,excluded,727,1016
corot-7 b,1787,1575,212,257.4814073835303,344.13821057042844,1.3365555752840004,excluded,1560,1794
kepler-462 b,1446,1657,211,403.3442947746153,306.20764477666455,6.066980843452059,excluded,806,2214
kepler-60 d,2164,1953,211,148.3761333608335,210.1882439945401,1.4314611076311385,excluded,1942,2170
kepler-223 e,1348,1139,209,463.8032269701866,599.8347113900754,10.45709199350582,excluded,480,2145
kepler-282 d,1276,1067,209,499.92997470310166,640.7122468821668,1.2941112720516526,excluded,1051,1295
kepler-31 c,713,506,207,1022.2428807975225,1582.7229591212704,1.54828464824962,excluded,493,729
kepler-296 f,829,628,201,860.1426331499982,1179.3300368906257,1.371086598244416,excluded,613,846
kepler-84 e,1231,1430,199,529.4218155024874,414.8494303586888,1.2761782390414194,excluded,1216,1449
kepler-31 d,635,827,192,1172.6697434988132,857.0030690008733,1.3683378577231422,excluded,616,846
kepler-9 d,1753,1943,190,277.2355985558268,216.80044886811223,1.7296525514608134,excluded,1602,2053
kepler-32 b,343,532,189,5135.210748872825,1444.9953412730506,3.5537905225000035,excluded,326,549
kepler-953 c,2071,2256,185,175.21636174513375,121.17034880274359,1.455040923076943,excluded,2055,2270
k2-35 c,1058,874,184,665.1376219502449,813.7662450127857,1.381865620725883,excluded,806,1112
kepler-60 c,2222,2039,183,135.33866475596804,191.60616166770788,1.4323077502905175,excluded,2022,2228
kepler-167 b,1559,1377,182,357.8408389562282,441.2203228384583,1.6162208885786458,excluded,1257,1665
kepler-58 d,1007,1187,180,681.7649907124788,570.7154809905485,1.1998631692859905,excluded,985,1212
wasp-136 b,187,366,179,10536.74725608749,4149.931280910614,3.544143982886715,excluded,124,388
kepler-278 b,1961,2139,178,203.91938749428127,160.261825189374,1.4188821458015024,excluded,1937,2164
kepler-279 c,738,560,178,968.3237411082932,1354.3851403372353,1.4189208576320038,excluded,537,764
kepler-145 c,1522,1348,174,362.4923545646223,457.2954300300061,1.261531241339555,excluded,1333,1538
kepler-338 d,2008,1834,174,195.4810928217655,250.7358166283253,1.2826601949526628,excluded,1822,2020
kepler-433 b,188,362,174,10536.74725608747,4335.734466166233,2.430210461067357,excluded,169,373
kepler-105 c,2302,2130,172,107.1919836419304,165.19735409541397,1.5411353394414986,excluded,2117,2306
kepler-282 e,888,718,170,792.5439468800473,1017.4573158400456,1.2919110803382317,excluded,701,901
kepler-84 f,1499,1669,170,377.86616498854715,297.02237321539263,1.2792275480751565,excluded,1479,1680
kepler-160 b,1812,1975,163,255.37733632425866,197.34106430669394,2.01312915680177,excluded,1621,2153
kepler-305 d,876,716,160,815.2649838888979,1018.4521408266762,1.2492283624994596,excluded,704,885
kepler-80 c,710,550,160,1023.4096581382104,1369.6656443156687,1.3383356639484605,excluded,533,725
epic 211822797 b,617,776,159,1210.7724511447839,919.0080059175273,1.4107150787010805,excluded,579,827
kepler-54 d,913,1069,156,779.5507089943765,639.6407983323156,1.2366614626876888,excluded,879,1094
hat-p-41 b,29,184,155,21125.765290703323,10536.74725608747,4.392600544011357,possible,4,304
kepler-276 d,956,1111,155,729.6916382332048,619.7470065355831,1.177402440896355,excluded,941,1133
kepler-166 d,1356,1510,154,456.3358252837304,364.34167112504144,1.2636004489793191,excluded,1333,1538
