planet_key,observable,review_priority,selection_reasons,review_classification,review_finding,evidence_reference,reviewer,review_date,second_reviewer,adjudication
hat-p-54 b,geometric_area_ratio_ppm,0,operational_candidate;stable_reference,confirmed_agreement,Source A value 24664.9 vs Source B value 24664.9 (ppm); factorial width 1.0000. Planet radius 10.5813 vs 10.5813 R_earth. Host star radius 0.6170 vs 0.6170 R_sun. Transit evidence confirmed in both sources (both_transit); selection reasons: operational_candidate;stable_reference.,"forensic_cases.csv (protocol 2.4.0 corrected-input run), source_row_a=307, source_row_b=347; frozen inputs kepler.csv (Exoplanet.eu snapshot, sha256=c945f9a5b9f69111add6ccdc7d84dd10b3d42cfe51ce78977148db832beab50e) and nasa_exoplanet_intelligence.csv (NASA-derived, sha256=684d4ae9eaa375a07d50f1f521c4fbbeb3a8cbbe4ec1e0b0598c2dd51f7da287).",Khaled Tarchi (Lead Author - Solo-Author Self-Audit),2026-08-14,N/A (Solo-Author Project),"Exact agreement between the two frozen source snapshots for this system/observable (factorial width 1.0000). Reclassified as confirmed_agreement: identical canonical values in both sources; no source difference, matching, unit, or data error identified; no correction required."
hats-22 b,geometric_area_ratio_ppm,0,operational_candidate,confirmed_agreement,Source A value 20158.3 vs Source B value 20158.3 (ppm); factorial width 1.0000. Planet radius 10.6822 vs 10.6822 R_earth. Host star radius 0.6890 vs 0.6890 R_sun. Transit evidence confirmed in both sources (both_transit); selection reasons: operational_candidate.,"forensic_cases.csv (protocol 2.4.0 corrected-input run), source_row_a=332, source_row_b=1217; frozen inputs kepler.csv (Exoplanet.eu snapshot, sha256=c945f9a5b9f69111add6ccdc7d84dd10b3d42cfe51ce78977148db832beab50e) and nasa_exoplanet_intelligence.csv (NASA-derived, sha256=684d4ae9eaa375a07d50f1f521c4fbbeb3a8cbbe4ec1e0b0598c2dd51f7da287).",Khaled Tarchi (Lead Author - Solo-Author Self-Audit),2026-08-14,N/A (Solo-Author Project),"Exact agreement between the two frozen source snapshots for this system/observable (factorial width 1.0000). Reclassified as confirmed_agreement: identical canonical values in both sources; no source difference, matching, unit, or data error identified; no correction required."
hats-23 b,geometric_area_ratio_ppm,0,operational_candidate,confirmed_agreement,Source A value 25356.8 vs Source B value 25356.8 (ppm); factorial width 1.0000. Planet radius 20.8487 vs 20.8487 R_earth. Host star radius 1.1990 vs 1.1990 R_sun. Transit evidence confirmed in both sources (both_transit); selection reasons: operational_candidate.,"forensic_cases.csv (protocol 2.4.0 corrected-input run), source_row_a=333, source_row_b=1550; frozen inputs kepler.csv (Exoplanet.eu snapshot, sha256=c945f9a5b9f69111add6ccdc7d84dd10b3d42cfe51ce78977148db832beab50e) and nasa_exoplanet_intelligence.csv (NASA-derived, sha256=684d4ae9eaa375a07d50f1f521c4fbbeb3a8cbbe4ec1e0b0598c2dd51f7da287).",Khaled Tarchi (Lead Author - Solo-Author Self-Audit),2026-08-14,N/A (Solo-Author Project),"Exact agreement between the two frozen source snapshots for this system/observable (factorial width 1.0000). Reclassified as confirmed_agreement: identical canonical values in both sources; no source difference, matching, unit, or data error identified; no correction required."
hats-43 b,geometric_area_ratio_ppm,0,operational_candidate,confirmed_agreement,Source A value 22251.5 vs Source B value 22251.5 (ppm); factorial width 1.0000. Planet radius 13.2266 vs 13.2266 R_earth. Host star radius 0.8120 vs 0.8120 R_sun. Transit evidence confirmed in both sources (both_transit); selection reasons: operational_candidate.,"forensic_cases.csv (protocol 2.4.0 corrected-input run), source_row_a=348, source_row_b=915; frozen inputs kepler.csv (Exoplanet.eu snapshot, sha256=c945f9a5b9f69111add6ccdc7d84dd10b3d42cfe51ce78977148db832beab50e) and nasa_exoplanet_intelligence.csv (NASA-derived, sha256=684d4ae9eaa375a07d50f1f521c4fbbeb3a8cbbe4ec1e0b0598c2dd51f7da287).",Khaled Tarchi (Lead Author - Solo-Author Self-Audit),2026-08-14,N/A (Solo-Author Project),"Exact agreement between the two frozen source snapshots for this system/observable (factorial width 1.0000). Reclassified as confirmed_agreement: identical canonical values in both sources; no source difference, matching, unit, or data error identified; no correction required."
hats-6 b,geometric_area_ratio_ppm,0,operational_candidate,confirmed_agreement,Source A value 32301.1 vs Source B value 32301.1 (ppm); factorial width 1.0000. Planet radius 11.1866 vs 11.1866 R_earth. Host star radius 0.5700 vs 0.5700 R_sun. Transit evidence confirmed in both sources (both_transit); selection reasons: operational_candidate.,"forensic_cases.csv (protocol 2.4.0 corrected-input run), source_row_a=357, source_row_b=297; frozen inputs kepler.csv (Exoplanet.eu snapshot, sha256=c945f9a5b9f69111add6ccdc7d84dd10b3d42cfe51ce78977148db832beab50e) and nasa_exoplanet_intelligence.csv (NASA-derived, sha256=684d4ae9eaa375a07d50f1f521c4fbbeb3a8cbbe4ec1e0b0598c2dd51f7da287).",Khaled Tarchi (Lead Author - Solo-Author Self-Audit),2026-08-14,N/A (Solo-Author Project),"Exact agreement between the two frozen source snapshots for this system/observable (factorial width 1.0000). Reclassified as confirmed_agreement: identical canonical values in both sources; no source difference, matching, unit, or data error identified; no correction required."
ngts-1 b,geometric_area_ratio_ppm,0,operational_candidate,confirmed_agreement,Source A value 56767.6 vs Source B value 56767.6 (ppm); factorial width 1.0000. Planet radius 14.9080 vs 14.9080 R_earth. Host star radius 0.5730 vs 0.5730 R_sun. Transit evidence confirmed in both sources (both_transit); selection reasons: operational_candidate.,"forensic_cases.csv (protocol 2.4.0 corrected-input run), source_row_a=3399, source_row_b=1556; frozen inputs kepler.csv (Exoplanet.eu snapshot, sha256=c945f9a5b9f69111add6ccdc7d84dd10b3d42cfe51ce78977148db832beab50e) and nasa_exoplanet_intelligence.csv (NASA-derived, sha256=684d4ae9eaa375a07d50f1f521c4fbbeb3a8cbbe4ec1e0b0598c2dd51f7da287).",Khaled Tarchi (Lead Author - Solo-Author Self-Audit),2026-08-14,N/A (Solo-Author Project),"Exact agreement between the two frozen source snapshots for this system/observable (factorial width 1.0000). Reclassified as confirmed_agreement: identical canonical values in both sources; no source difference, matching, unit, or data error identified; no correction required."
qatar-6 b,geometric_area_ratio_ppm,0,operational_candidate,confirmed_agreement,Source A value 22797.2 vs Source B value 22797.2 (ppm); factorial width 1.0000. Planet radius 11.9040 vs 11.9040 R_earth. Host star radius 0.7220 vs 0.7220 R_sun. Transit evidence confirmed in both sources (both_transit); selection reasons: operational_candidate.,"forensic_cases.csv (protocol 2.4.0 corrected-input run), source_row_a=3482, source_row_b=2088; frozen inputs kepler.csv (Exoplanet.eu snapshot, sha256=c945f9a5b9f69111add6ccdc7d84dd10b3d42cfe51ce78977148db832beab50e) and nasa_exoplanet_intelligence.csv (NASA-derived, sha256=684d4ae9eaa375a07d50f1f521c4fbbeb3a8cbbe4ec1e0b0598c2dd51f7da287).",Khaled Tarchi (Lead Author - Solo-Author Self-Audit),2026-08-14,N/A (Solo-Author Project),"Exact agreement between the two frozen source snapshots for this system/observable (factorial width 1.0000). Reclassified as confirmed_agreement: identical canonical values in both sources; no source difference, matching, unit, or data error identified; no correction required."
hats-34 b,geometric_area_ratio_ppm,0,operational_candidate,confirmed_agreement,Source A value 22435 vs Source B value 22435 (ppm); factorial width 1.0000. Planet radius 16.0289 vs 16.0289 R_earth. Host star radius 0.9800 vs 0.9800 R_sun. Transit evidence confirmed in both sources (both_transit); selection reasons: operational_candidate.,"forensic_cases.csv (protocol 2.4.0 corrected-input run), source_row_a=345, source_row_b=1607; frozen inputs kepler.csv (Exoplanet.eu snapshot, sha256=c945f9a5b9f69111add6ccdc7d84dd10b3d42cfe51ce78977148db832beab50e) and nasa_exoplanet_intelligence.csv (NASA-derived, sha256=684d4ae9eaa375a07d50f1f521c4fbbeb3a8cbbe4ec1e0b0598c2dd51f7da287).",Khaled Tarchi (Lead Author - Solo-Author Self-Audit),2026-08-14,N/A (Solo-Author Project),"Exact agreement between the two frozen source snapshots for this system/observable (factorial width 1.0000). Reclassified as confirmed_agreement: identical canonical values in both sources; no source difference, matching, unit, or data error identified; no correction required."
kepler-45 b,geometric_area_ratio_ppm,0,operational_candidate,confirmed_source_difference,Source A value 32101.4 vs Source B value 32097.6 (ppm); factorial width 1.0001. dominant contributor(s): planet-radius contribution 0.0001. Planet radius 10.7606 vs 10.7600 R_earth. Host star radius 0.5500 vs 0.5500 R_sun. Transit evidence confirmed in both sources (both_transit); selection reasons: operational_candidate.,"forensic_cases.csv (protocol 2.4.0 corrected-input run), source_row_a=2639, source_row_b=94; frozen inputs kepler.csv (Exoplanet.eu snapshot, sha256=c945f9a5b9f69111add6ccdc7d84dd10b3d42cfe51ce78977148db832beab50e) and nasa_exoplanet_intelligence.csv (NASA-derived, sha256=684d4ae9eaa375a07d50f1f521c4fbbeb3a8cbbe4ec1e0b0598c2dd51f7da287).",Khaled Tarchi (Lead Author - Solo-Author Self-Audit),2026-08-14,N/A (Solo-Author Project),"Confirmed genuine difference between the two frozen source snapshots for this system/observable; no pipeline matching, unit, or conversion error identified. Retained as-is in the frozen-snapshot benchmark; no correction required."
wasp-52 b,geometric_area_ratio_ppm,0,operational_candidate,confirmed_source_difference,Source A value 27230.8 vs Source B value 27248.3 (ppm); factorial width 1.0006. dominant contributor(s): planet-radius contribution 0.0006. Planet radius 14.2354 vs 14.2400 R_earth. Host star radius 0.7900 vs 0.7900 R_sun. Transit evidence confirmed in both sources (both_transit); selection reasons: operational_candidate.,"forensic_cases.csv (protocol 2.4.0 corrected-input run), source_row_a=3613, source_row_b=414; frozen inputs kepler.csv (Exoplanet.eu snapshot, sha256=c945f9a5b9f69111add6ccdc7d84dd10b3d42cfe51ce78977148db832beab50e) and nasa_exoplanet_intelligence.csv (NASA-derived, sha256=684d4ae9eaa375a07d50f1f521c4fbbeb3a8cbbe4ec1e0b0598c2dd51f7da287).",Khaled Tarchi (Lead Author - Solo-Author Self-Audit),2026-08-14,N/A (Solo-Author Project),"Confirmed genuine difference between the two frozen source snapshots for this system/observable; no pipeline matching, unit, or conversion error identified. Retained as-is in the frozen-snapshot benchmark; no correction required."
