source,variable,analysis_scale,n_included,n_excluded,median_included_original_scale,median_excluded_original_scale,standardized_mean_difference
a,period_days,log,2588,393,9.488815355,137.48,-1.2815084624232982
a,semi_major_axis_au,log,1227,383,0.0777,0.53364,-1.332575715770662
a,star_temperature_k,raw,2585,362,5665.0,5344.0,0.1971831976989495
a,star_mass_msun,log,2310,368,0.9695,0.99,0.025983187849509662
a,distance_pc,log,1624,355,674.0,41.3,2.7684557402770658
a,visual_magnitude_mag,raw,574,380,12.797,8.04,2.0100762287193708
b,period_days,log,2588,393,9.488815355,137.48,-1.2815122993949535
b,semi_major_axis_au,log,2583,387,0.0848,0.53,-1.2595022347347467
b,star_temperature_k,raw,2588,392,5663.0,5313.5,0.18849436707659847
b,star_mass_msun,log,2588,393,0.96,0.99,0.01602310034686405
b,distance_pc,log,2588,393,692.149,43.6197,2.4533840707925894
b,visual_magnitude_mag,raw,2588,393,14.560500000000001,8.07,2.826938937030003
