planet_key,planet_name_source_a,planet_name_source_b,discovery_method_source_a,discovery_method_source_b,discovery_method_class_a,discovery_method_class_b,transit_evidence_a,transit_evidence_b,transit_concordance,period_relative_difference
51 peg b,51 Peg b,51 Peg b,Radial Velocity,Radial Velocity,radial_velocity,radial_velocity,absent,absent,neither_confirmed_transit,3.5454413307034776e-06
55 cnc e,55 Cnc e,55 Cnc e,Primary Transit,Radial Velocity,transit,radial_velocity,confirmed,absent,a_transit_only,5.430743493378732e-07
bd-10 3166 b,BD-10 3166 b,BD-10 3166 b,Radial Velocity,Radial Velocity,radial_velocity,radial_velocity,absent,absent,neither_confirmed_transit,8.601484616301115e-06
gj 3470 b,GJ 3470 b,GJ 3470 b,Primary Transit,Radial Velocity,transit,radial_velocity,confirmed,absent,a_transit_only,1.8101990691555543e-05
gj 436 b,GJ 436 b,GJ 436 b,Primary Transit,Radial Velocity,transit,radial_velocity,confirmed,absent,a_transit_only,2.151381033827961e-05
hd 149026 b,HD 149026 b,HD 149026 b,Primary Transit,Radial Velocity,transit,radial_velocity,confirmed,absent,a_transit_only,5.563495126885969e-07
hd 17156 b,HD 17156 b,HD 17156 b,Primary Transit,Radial Velocity,transit,radial_velocity,confirmed,absent,a_transit_only,1.484700661587321e-06
hd 179949 b,HD 179949 b,HD 179949 b,Radial Velocity,Radial Velocity,radial_velocity,radial_velocity,absent,absent,neither_confirmed_transit,4.527081649209551e-06
hd 189733 b,HD 189733 b,HD 189733 b,Primary Transit,Radial Velocity,transit,radial_velocity,confirmed,absent,a_transit_only,1.149387404479854e-06
hd 209458 b,HD 209458 b,HD 209458 b,Primary Transit,Radial Velocity,transit,radial_velocity,confirmed,absent,a_transit_only,8.111282598427131e-06
hd 219134 b,HD 219134 b,HD 219134 b,Primary Transit,Radial Velocity,transit,radial_velocity,confirmed,absent,a_transit_only,5.62574080337973e-05
hd 46375 b,HD 46375 b,HD 46375 b,Radial Velocity,Radial Velocity,radial_velocity,radial_velocity,absent,absent,neither_confirmed_transit,2.31514172143033e-06
hd 49674 b,HD 49674 b,HD 49674 b,Radial Velocity,Radial Velocity,radial_velocity,radial_velocity,absent,absent,neither_confirmed_transit,4.042551901339707e-06
hd 75289 b,HD 75289 b,HD 75289 b,Radial Velocity,Radial Velocity,radial_velocity,radial_velocity,absent,absent,neither_confirmed_transit,2.849595499937455e-06
hd 76700 b,HD 76700 b,HD 76700 b,Radial Velocity,Radial Velocity,radial_velocity,radial_velocity,absent,absent,neither_confirmed_transit,1.0073105563694022e-05
hd 80606 b,HD 80606 b,HD 80606 b,Primary Transit,Radial Velocity,transit,radial_velocity,confirmed,absent,a_transit_only,3.5446237166329153e-06
hd 83443 b,HD 83443 b,HD 83443 b,Radial Velocity,Radial Velocity,radial_velocity,radial_velocity,absent,absent,neither_confirmed_transit,3.081428764734956e-05
hd 88133 b,HD 88133 b,HD 88133 b,Radial Velocity,Radial Velocity,radial_velocity,radial_velocity,absent,absent,neither_confirmed_transit,0.00022724051534403803
hd 97658 b,HD 97658 b,HD 97658 b,Primary Transit,Radial Velocity,transit,radial_velocity,confirmed,absent,a_transit_only,6.200399177566391e-05
kelt-4 a b,KELT-4 A b,KELT-4 A b,Radial Velocity,Transit,radial_velocity,transit,absent,confirmed,b_transit_only,3.344936705115309e-08
kepler-138 d,Kepler-138 d,Kepler-138 d,Radial Velocity,Transit,radial_velocity,transit,absent,confirmed,b_transit_only,0.0001286308437707482
kepler-338 e,Kepler-338 e,Kepler-338 e,TTV,Transit Timing Variations,timing,timing,supported,confirmed,b_transit_only,5.24569103951386e-05
kepler-76 b,Kepler-76 b,Kepler-76 b,Primary Transit,Orbital Brightness Modulation,transit,other,confirmed,unresolved,a_transit_only,6.796429932823433e-07
tau boo b,tau Boo b,tau Boo b,Radial Velocity,Radial Velocity,radial_velocity,radial_velocity,absent,absent,neither_confirmed_transit,1.0022772221465489e-05
wasp-157 b,WASP-157 b,WASP-157 b,Radial Velocity,Transit,radial_velocity,transit,absent,confirmed,b_transit_only,6.326518449596451e-07
wasp-53 b,WASP-53 b,WASP-53 b,Radial Velocity,Transit,radial_velocity,transit,absent,confirmed,b_transit_only,0.0
wasp-81 b,WASP-81 b,WASP-81 b,Radial Velocity,Transit,radial_velocity,transit,absent,confirmed,b_transit_only,0.0
