planet_key,planet_name_source_a,planet_name_source_b,transit_concordance,source_value_a,source_value_b,factorial_lower,factorial_upper,factorial_width,rank_a,rank_b,rank_displacement,best_rank,worst_rank,top_k_status,period_relative_difference
ngts-1 b,NGTS-1 b,NGTS-1 b,both_transit,56767.60877440967,56767.60877440967,56767.60877440967,56767.60877440967,1.0,1,1,0,1,1,guaranteed,0.0
hats-6 b,HATS-6 b,HATS-6 b,both_transit,32301.146242081137,32301.146242081137,32301.146242081137,32301.146242081137,1.0,2,3,1,2,5,guaranteed,0.0
kepler-45 b,Kepler-45 b,Kepler-45 b,both_transit,32101.37610317429,32097.557692793125,32097.557692793125,32101.37610317429,1.0001189626456228,3,4,1,3,6,guaranteed,0.0
wts-2 b,WTS-2 b,WTS-2 b,both_transit,30748.501371540347,34614.86110300612,30748.501371540347,34614.86110300612,1.1257414039386104,4,2,2,2,8,guaranteed,5.889820310694655e-07
kepler-785 b,Kepler-785 b,Kepler-785 b,both_transit,28222.931485912726,28201.882284127223,28201.882284127223,28222.931485912726,1.000746375776391,6,6,0,5,11,guaranteed,2.026587950052913e-09
corot-2 b,CoRoT-2 b,CoRoT-2 b,both_transit,27795.131759057695,27586.54307778621,27550.241923717258,27831.755588465297,1.010218192113431,7,7,0,6,13,guaranteed,1.6638042539555414e-06
wasp-52 b,WASP-52 b,WASP-52 b,both_transit,27230.76373873334,27248.2503289535,27230.76373873334,27248.2503289535,1.0006421630472042,9,9,0,7,15,guaranteed,0.0
kepler-447 b,Kepler-447 b,Kepler-447 b,both_transit,27039.583754075,26005.670083639136,26005.670083639136,27039.583754075,1.0397572401368858,11,10,1,8,16,guaranteed,0.0
hats-23 b,HATS-23 b,HATS-23 b,both_transit,25356.778972162796,25356.778972162796,25356.778972162796,25356.778972162796,1.0,14,11,3,9,17,guaranteed,0.0
hat-p-54 b,HAT-P-54 b,HAT-P-54 b,both_transit,24664.94908652672,24664.94908652672,24664.94908652672,24664.94908652672,1.0,15,15,0,10,20,guaranteed,0.0
wasp-80 b,WASP-80 b,WASP-80 b,both_transit,24060.207067727613,30622.617323214454,24060.207067727613,30622.617323214454,1.2727495335769208,16,5,11,5,22,guaranteed,6.323646028359224e-07
wasp-98 b,WASP-98 b,WASP-98 b,both_transit,26019.314652787474,25114.364651013057,23219.64187408754,28142.490728454897,1.2120122644897944,12,14,2,6,24,guaranteed,1.215132449546879e-07
qatar-2 b,Qatar-2 b,Qatar-2 b,both_transit,27125.61241331177,27515.21298843927,22899.98348812122,32592.469046158236,1.423252949639232,10,8,2,2,25,guaranteed,1.2938289511324856e-06
qatar-6 b,Qatar-6 b,Qatar-6 b,both_transit,22797.183823587002,22797.183823587002,22797.183823587002,22797.183823587002,1.0,19,17,2,14,26,possible,1.711259718158516e-06
wasp-140 b,WASP-140 b,WASP-140 b,both_transit,28866.427678984044,22452.980747420315,22452.980747420315,28866.427678984044,1.2856389983900283,5,18,13,5,28,possible,4.3828588172374177e-07
hats-34 b,HATS-34 b,HATS-34 b,both_transit,22435.021307760595,22435.021307760635,22435.021307760595,22435.021307760635,1.0000000000000018,21,19,2,16,29,possible,0.0
hats-43 b,HATS-43 b,HATS-43 b,both_transit,22251.460359654764,22251.460359654764,22251.460359654764,22251.460359654764,1.0,22,20,2,17,30,possible,0.0
hat-p-32 b,HAT-P-32 b,HAT-P-32 b,both_transit,22726.664389146725,22105.478195015527,21472.56970185369,23396.537586106842,1.089601194033477,20,21,1,12,34,possible,3.720916041264422e-07
ogle-tr-113 b,OGLE-TR-113 b,OGLE-TR-113 b,both_transit,22183.478652185695,21010.383656149937,21010.383656149937,22183.478652185695,1.0558340587794255,23,24,1,18,38,possible,1.396184729645209e-06
wasp-43 b,WASP-43 b,WASP-43 b,both_transit,25419.933248449976,25312.73829898413,20482.830071398243,31414.02411936015,1.5336759622502547,13,12,1,4,40,possible,3.1101140170946847e-06
qatar-1 b,Qatar-1 b,Qatar-1 b,both_transit,21660.621174312942,21348.527883401497,20323.53983952885,22753.04296214261,1.119541336883077,25,22,3,15,40,possible,5.915392146147581e-07
wasp-107 b,WASP-107 b,WASP-107 b,both_transit,21373.438648941446,20740.18684668945,20740.18684668945,21373.438648941446,1.030532598714417,27,26,1,19,40,possible,2.761526041644866e-06
wasp-19 b,WASP-19 b,WASP-19 b,both_transit,20341.714396425876,20845.96409894474,20260.913227422356,20929.098469508077,1.0329790288614118,33,25,8,20,41,possible,1.8761761279078379e-06
hats-22 b,HATS-22 b,HATS-22 b,both_transit,20158.30074655209,20158.30074655209,20158.30074655209,20158.30074655209,1.0,34,28,6,24,43,possible,0.0
wasp-10 b,WASP-10 b,WASP-10 b,both_transit,20046.130332627763,25226.867048658678,20046.130332627763,25226.867048658678,1.258440737941256,36,13,23,10,44,possible,0.0
wasp-39 b,WASP-39 b,WASP-39 b,both_transit,21216.216284564758,19548.636323899955,19274.486656599405,21517.984043126486,1.1163972574988879,28,35,7,18,50,possible,8.655427433819537e-06
wasp-110 b,WASP-110 b,WASP-110 b,both_transit,20806.356492478943,20061.339626494268,18806.421946340884,22194.726098163886,1.1801674003428522,31,30,1,18,55,possible,1.1909810340348297e-06
wasp-50 b,WASP-50 b,WASP-50 b,both_transit,18666.3264779078,20158.049828392435,18666.3264779078,20158.049828392435,1.0799152073253477,46,29,17,25,57,possible,2.0970838310035657e-06
wasp-67 b,WASP-67 b,WASP-67 b,both_transit,27285.010730521204,17994.380483181427,17994.380483181427,27285.010730521204,1.5163073136095644,8,48,40,7,64,possible,0.0
wasp-25 b,WASP-25 b,WASP-25 b,both_transit,18535.335117744566,20465.480829995213,17720.634667573107,21406.374695138922,1.2079914233721172,47,27,20,19,69,possible,9.827800990116173e-07
wasp-6 b,WASP-6 b,WASP-6 b,both_transit,20855.993998065962,21140.295688796698,17431.17788265031,25293.866138657424,1.4510703928868196,30,23,7,10,76,possible,1.0116029068852228e-06
wasp-46 b,WASP-46 b,WASP-46 b,both_transit,21503.565828749983,19727.324157567098,17270.467161695815,24562.61371945889,1.4222321544339187,26,31,5,11,76,possible,1.656916690731664e-06
wasp-36 b,WASP-36 b,WASP-36 b,both_transit,19081.232419783737,19123.877254157407,17488.692672380395,20865.31872278166,1.1930748120317716,43,38,5,20,76,possible,4.293059040591537e-07
hat-p-18 b,HAT-P-18 b,HAT-P-18 b,both_transit,18380.960825819173,18594.846322328765,16843.90895913653,20291.675919291716,1.2046892421776618,49,43,6,23,80,possible,1.0893200700052432e-06
wasp-17 b,WASP-17 b,WASP-17 b,both_transit,21932.639991419062,16596.52785001232,16596.52785001232,21932.639991419062,1.321519789538556,24,60,36,18,84,possible,2.1416543744056124e-06
hat-p-19 b,HAT-P-19 b,HAT-P-19 b,both_transit,20080.37004147033,17917.076333547175,15922.029602183386,22596.461118848878,1.419194768721585,35,49,14,15,90,possible,1.945727563159784e-07
wasp-4 b,WASP-4 b,WASP-4 b,both_transit,15504.55469113621,23053.62846148195,14498.840945986274,24652.7460120273,1.7003252952334744,87,16,71,11,117,possible,6.545955100588739e-07
k2-30 b,K2-30 b,K2-30 b,both_transit,17021.180424044807,15968.082386175645,12845.718806658539,21158.458737258294,1.6471214305493649,66,70,4,19,155,possible,9.7596610266503e-07
wasp-41 b,WASP-41 b,WASP-41 b,both_transit,14382.282991252057,18506.988212898625,12498.249367577557,21296.801973256235,1.703982801663689,103,44,59,19,162,possible,1.3104442406352452e-06
ogle-tr-10 b,OGLE-TR-10 b,OGLE-TR-10 b,both_transit,23165.80936564296,12026.50308777932,12026.50308777932,23165.80936564296,1.926229860547144,18,145,127,13,175,possible,3.869372561860297e-06
wasp-93 b,WASP-93 b,WASP-93 b,both_transit,23916.887711508363,11570.349057533886,11570.349057533886,23916.887711508363,2.0670843716625114,17,157,140,12,191,possible,0.0
qatar-4 b,Qatar-4 b,Qatar-4 b,both_transit,20414.571186009747,18831.412878135998,10918.13729129748,35210.696520574966,3.224972866813129,32,41,9,2,207,possible,2.1325429150749615e-05
hat-p-41 b,HAT-P-41 b,HAT-P-41 b,both_transit,21125.765290703323,10536.74725608747,7118.66656232361,31269.458614298142,4.392600544011357,29,184,155,4,304,possible,1.1135663186185115e-06
hat-p-67 b,HAT-P-67 b,HAT-P-67 b,both_transit,19164.597488299692,7029.590579137481,6672.922774072735,20188.945461823343,3.0255026388536,42,285,243,24,318,possible,1.0082946160849442e-06
